"control_1" "control_2" "control_3" "fe_starved_no_ox_1" "fe_starved_no_ox_2" "fe_starved_no_ox_3" "ox_stress_with_fe_1" "ox_stress_with_fe_2" "ox_stress_with_fe_3" "fe_starved_ox_stress_1" "fe_starved_ox_stress_2" "fe_starved_ox_stress_3"
"Afu1g00100" 0 1 1 3 5 4 2 0 1 1 0 2
"Afu1g00110" 2 1 3 35 28 28 3 5 1 8 10 7
"Afu1g00120" 197 140 126 104 119 115 159 160 139 214 90 222
"Afu1g00130" 3 1 0 3 0 1 2 0 2 0 0 0
"Afu1g00140" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu1g00150" 113 103 104 80 70 82 236 115 95 35 22 31
"Afu1g00160" 1 0 1 1 1 0 2 1 0 1 0 0
"Afu1g00170" 24 22 20 5 4 4 24 25 26 21 29 6
"Afu1g00180" 4 4 0 10 3 5 11 12 1 3 1 1
"Afu1g00200" 3 2 1 2 0 2 1 0 2 0 0 0
"Afu1g00210" 129 128 92 156 125 157 417 170 176 107 25 69
"Afu1g00220" 970 815 829 1874 1945 2188 1577 1490 1231 1651 1367 1428
"Afu1g00230" 655 515 486 722 709 776 863 761 572 1122 691 1123
"Afu1g00240" 35 24 25 5 13 15 32 17 12 18 4 10
"Afu1g00250" 48 24 26 12 13 13 57 26 30 12 9 13
"Afu1g00270" 21 14 24 50 35 49 39 27 21 17 6 17
"Afu1g00280" 7 0 2 18 7 18 4 1 3 0 4 1
"Afu1g00290" 22 10 18 18 10 13 17 9 14 12 35 11
"Afu1g00300" 32 27 28 4 4 3 24 26 17 5 10 16
"Afu1g00310" 41 16 13 3 7 2 19 9 11 2 2 1
"Afu1g00320" 0 0 0 0 0 1 1 1 0 0 0 0
"Afu1g00330" 0 0 0 1 0 0 1 1 2 3 2 1
"Afu1g00340" 1 0 3 5 5 6 1 2 1 4 4 1
"Afu1g00350" 0 1 0 0 1 0 0 1 1 7 3 2
"Afu1g00390" 52 85 58 33 45 45 70 52 59 3 8 7
"Afu1g00400" 0 0 1 0 0 1 1 0 0 0 2 0
"Afu1g00410" 2 2 2 5 7 6 1 0 3 2 3 0
"Afu1g00420" 13 7 9 46 38 60 9 12 9 59 30 72
"Afu1g00440" 158 64 65 132 158 119 38 42 35 35 7 37
"Afu1g00450" 4 2 2 4 6 2 0 4 0 7 1 3
"Afu1g00460" 8 6 9 35 16 13 15 16 12 5 3 8
"Afu1g00470" 103 62 73 108 106 102 126 145 108 104 73 92
"Afu1g00480" 12 2 2 4 2 5 1 9 1 69 9 59
"Afu1g00490" 3 5 1 3 1 2 3 1 0 0 1 0
"Afu1g00500" 2852 2724 2614 1954 2177 2269 3452 4254 2993 7318 10492 5926
"Afu1g00510" 7046 4579 4426 4262 5232 4289 7548 7536 6068 12300 21018 9770
"Afu1g00520" 108 89 75 96 103 106 115 103 81 151 245 127
"Afu1g00530" 619 429 347 154 183 219 607 651 533 644 453 640
"Afu1g00540" 99 91 98 168 182 169 163 142 114 156 56 117
"Afu1g00550" 279 291 242 198 192 224 457 282 321 197 422 141
"Afu1g00560" 1238 1188 1088 3256 2895 3498 3380 2338 2146 961 433 808
"Afu1g00570" 162 157 115 114 151 159 288 173 200 339 232 297
"Afu1g00580" 115 128 95 194 219 251 183 165 141 76 23 64
"Afu1g00590" 12 8 9 24 22 26 10 5 4 5 1 4
"Afu1g00610" 19 14 15 7 10 13 13 9 7 57 35 45
"Afu1g00620" 14 9 14 10 7 4 13 7 5 15 14 10
"Afu1g00630" 364 149 103 38 45 25 201 185 147 178 320 206
"Afu1g00640" 43 50 43 67 59 64 56 59 45 65 33 51
"Afu1g00650" 32 23 16 2 5 2 4 8 3 4 7 1
"Afu1g00660" 3 1 3 6 3 6 0 2 0 6 7 2
"Afu1g00670" 66 47 46 120 109 143 82 75 70 153 232 161
"Afu1g00680" 7 3 3 3 9 3 0 2 2 5 5 6
"Afu1g00690" 6 14 10 30 37 23 11 17 8 20 144 28
"Afu1g00700" 117 129 107 230 241 234 237 221 175 242 301 258
